ID,Name,Lot
00451,GCL NEWENERGY,2000
00455,TIANDA PHARMA,2000
00456,NEW CITY DEV,20000
00458,TRISTATE HOLD,1000
00459,MIDLAND IC&I,10000
00460,SIHUAN PHARM,1000
00462,NATURAL DAIRY,4000
00464,KENFORD GROUP,4000
00465,FUTONG TECH,2000
00467,UNITEDENERGY GP,2000
00468,GAPACK,1000
00469,CAPXON INT'L,4000
00471,CMMB VISION,4000
00472,NEW SILKROAD,10000
00474,HAO TIAN DEV,6000
00475,ZHONG FA ZHAN,2000
00476,CH DYNAMICS,10000
00479,CIL HOLDINGS,20000
00480,HKR INT'L,800
00482,SANDMARTIN INTL,2000
00483,BAUHAUS INT'L,2000
00484,FORGAME,100
00485,CHINASINOSTAR,20000
00486,RUSAL,1000
00487,SUCCESSUNIVERSE,4000
00488,LAI SUN DEV,15000
00489,DONGFENG GROUP,2000
00491,SEE CORPORATION,20000
00493,GOME,1000
00494,LI & FUNG,2000
00495,PALADIN,5000
00496,KASEN,1000
00497,CSI PROPERTIES,10000
00498,PYI CORP,2000
00499,QINGDAO HLDGS,2000
00500,FRONTIER SER,1000
00503,LANSEN PHARMA,1000
00505,HUAN YUE INTER,1000
00506,CHINA FOODS,2000
00508,DINGYI GP INV,5000
00509,SUNSHINE,5000
00510,CASH FIN SER GP,6000
00511,TVB,100
00512,CHINAGRANDPHARM,4000
00513,CONTINENTAL H,10000
00515,TC ORI LIGHT,2000
00517,COSCO SHIP INTL,2000
00518,TUNGTEX (HOLD),2000
00519,APPLIED DEV,5000
00520,XIABUXIABU,500
00521,HNA HOLDING,10000
00522,ASM PACIFIC,100
00524,E-KONG GROUP,10000
00525,GUANGSHEN RAIL,2000
00526,LISI GP HOLD,2000
00527,RUIFENG RENEW,4000
00528,KINGDOM HOLDING,2000
00529,SIS INT'L,2000
00530,GOLDIN FIN HOLD,2000
00531,SAMSON HOLDING,1000
00532,WKK INTL (HOLD),2000
00533,GOLDLION HOLD,1000
00535,GEMDALE PPT,2000
00536,TRADELINK,2000
00538,AJISEN (CHINA),1000
00539,VICTORY CITY,2000
00540,SPEEDY GLOBAL,4000
00542,CENERIC,8000
00543,PACIFIC ONLINE,1000
00544,DAIDO GROUP,20000
00546,FUFENG GROUP,1000
00547,DIGITAL DOMAIN,10000
00548,SHENZHENEXPRESS,2000
00549,QIFENG FIBER,2000
00550,CINMEDIA,2000
00551,YUE YUEN IND,500
00552,CHINACOMSERVICE,2000
00553,NANJING PANDA,2000
00554,HANS ENERGY,2000
00555,REXLOT HOLDINGS,25000
00556,PAN ASIA ENVIRO,2000
00557,CITY E-SOLUTION,2000
00558,LK TECH,2500
00559,DETAI NEWENERGY,10000
00560,CHU KONG SHIP,2000
00563,SH IND URBAN,2000
00564,ZMJ,200
00565,ART GROUP HOLD,5000
00566,HANERGY TFP,2000
00567,DAISHOMICROLINE,2000
00568,SHANDONG MOLONG,400
00569,CH AUTOMATION,1000
00570,TRAD CHI MED,2000
00571,ESUN HOLDINGS,2000
00572,FUTURE WORLD FH,4000
00573,TAO HEUNG HLDGS,1000
00574,PASHUN PHARMA,2000
00575,REGENT PACIFIC,10000
00576,ZHEJIANGEXPRESS,2000
00577,THE 13 HOLDINGS,500
00578,ROSAN RES,10000
00579,JNCEC,2000
00580,SUN.KING ELEC,2000
00581,CHINA ORIENTAL,2000
00582,LANDING INTL,60000
00583,GWPA HOLDINGS,2000
00585,IMAGI INT'L,8000
00586,CONCH VENTURE,500
00587,HUA HAN HEALTH,4000
00588,BEIJING N STAR,2000
00589,PORTICO INT'L,500
00590,LUK FOOK HOLD,1000
00591,C HIGHPRECISION,1000
00592,BOSSINI INT'L,2000
00593,SKYOCEAN INTL,500
00595,AV CONCEPT HOLD,2000
00596,INSPUR INT'L,2000
00598,SINOTRANS,1000
00599,E. BON HOLDINGS,4000
00600,CHINA INFRA INV,2000
00601,GROUP SENSE,10000
00602,JIAHUA STORES H,2500
00603,CHINA OIL & GAS,20000
00604,SHENZHEN INVEST,2000
00605,C FIN SERVICES,2000
00606,CHINA AGRI,1000
00607,FULLSHARE,2500
00608,HIGH FASHION,2000
00609,TIANDE CHEMICAL,4000
00610,WAI KEE HOLD,2000
00611,CNE TECH CORP,2000
00613,YUGANG INT'L,2000
00616,EMINENCE ENT,5000
00617,PALIBURG HOLD,2000
00618,PKU RESOURCES,2000
00619,SOUTH CHINA FIN,50000
00620,DTXS SILK ROAD,2000
00621,TAUNG GOLD,10000
00622,ENERCHINA HOLD,3000
00623,SINOMEDIA,1000
00626,PUBLIC FIN HOLD,2000
00627,U-RIGHT INT'L,20000
00628,GOME FIN TECH,2000
00629,YUE DA MINING,1000
00630,AMCO UNITED,10000
00631,SANY INT'L,1000
00632,PEARLORIENT OIL,1000
00633,CH ALL ACCESS,2000
00635,PLAYMATES-NEW,2000
00636,KERRY LOG NET,500
00637,LEE KEE,2000
00638,KIN YAT HOLD,2000
00639,SHOUGANG RES,2000
00640,INFINITY DEV,4000
00641,CHTC FONG'S,2000
00643,CARRY WEALTH,10000
00645,ARES ASIA,2000
00646,CHINA ENV TEC,8000
00647,JOYCE BOUTIQUE,2000
00648,WAH YAN HEALTH,2500
00650,IDG ENERGY,2000
00651,CHI OCEAN IND,5000
00653,BONJOUR HOLD,2000
00655,HK CHINESE LTD,2000
00656,FOSUN INTL,500
00657,G-VISION INT'L,2000
00658,C TRANSMISSION,1000
00659,NWS HOLDINGS,1000
00660,WAI CHUN MINING,10000
00661,CDAYENONFER,2000
00662,ASIA FINANCIAL,2000
00663,KING STONE ENGY,1000
00665,HAITONG INT'L,1000
00668,DOYEN INTL HOLD,2000
00669,TECHTRONIC IND,500
00670,CHINA EAST AIR,2000
00672,ZHONGAN REALEST,1000
00673,CHINA HEALTH,3000
00674,CULTURELANDMARK,4000
00675,K & P INT'L,2000
00676,PEGASUS INT'L,2000
00677,GOLDEN RES DEV,2000
00678,GENTING HK,1000
00679,ASIA TELE-NET,10000
00680,NAN HAI CORP,50000
00681,CHI PEOPLE HOLD,2000
00682,CHAODA MODERN,2000
00683,KERRY PPT,500
00684,ALLAN INT'L,2000
00685,MEDIA CHINESE,1000
00686,UNITED PV,2000
00687,HKICIM GROUP,2000
00688,CHINA OVERSEAS,2000
00689,EPI (HOLDINGS),15000
00690,UNI-BIO GROUP,20000
00691,SHANSHUI CEMENT,1000
00692,CHINA HOUSEHOLD,5000
00693,TAN CHONG INT'L,3000
00694,BEIJING AIRPORT,2000
00695,DONGWU CEMENT,2000
00696,TRAVELSKY TECH,1000
00697,SHOUGANG INT'L,2000
00698,TONGDA GROUP,10000
00699,CAR INC,1000
00700,TENCENT,100
00701,CNT GROUP,2000
00702,SINO OIL & GAS,5000
00703,FUTURE BRIGHT,6000
00704,HUSCOKE RES,10000
00705,DINGHE MINING,12000
00706,BEAUTI C HOLD,10000
00707,CO-PROSPERITY,2000
00708,EVERG HEALTH,5000
00709,GIORDANO INT'L,2000
00710,VARITRONIX INTL,1000
00711,ASIA ALLIED INF,2000
00712,COMTEC SOLAR,2000
00713,WORLD HOUSEWARE,2000
00715,CHINA OCEANWIDE,2000
00716,SINGAMAS CONT,2000
00717,EMPEROR CAPITAL,6000
00718,TAI UNITED HOLD,5000
00719,SHANDONG XINHUA,2000
00720,AUTO ITALIA,25000
00722,UMP,2000
00723,SUSTAIN FOREST,60000
00724,RUIXIN INT'L,10000
00725,PERENNIAL INT'L,2000
00726,CM DRAWIN TECH,20000
00727,CROWNICORP,2000
00728,CHINA TELECOM,2000
00729,FDG EVEHICLES,5000
00730,SHOUGANG GRAND,1000
00731,SAMSON PAPER,2000
00732,TRULY INT'L,2000
00733,HOPEFLUENT,2000
00735,C P NEW ENERGY,500
00736,CHINA PPT INV,3000
00737,HOPEWELL INFR,500
00738,LE SAUNDA,2000
00743,ASIA CEMENT CH,500
00745,CN CULTURE GP,10000
00746,L & M CHEMICAL,2000
00747,SHENYANG PUBLIC,2000
00750,SINGYES SOLAR,1000
00751,SKYWORTHDIGITAL,2000
00752,PICO FAR EAST,2000
00753,AIR CHINA,2000
00754,HOPSON DEV HOLD,2000
00755,SHANGHAI ZENDAI,5000
00756,TIANYI SUMMI,4000
00757,SOLARGIGA,1000
00758,JUNEFIELD GROUP,2000
00759,CEC INT'L HOLD,2000
00760,TALENT PPT GP,15000
00761,BEL GLOBAL RES,2000
00762,CHINA UNICOM,2000
00763,ZTE,200
00764,ETERNITY INV,10000
00765,PERFECTECH INTL,2000
00766,SINO PROSPER GP,5000
00767,PACIFIC PLYWOOD,40000
00769,CHINA RAREEARTH,2000
00771,AUTOMATED SYS,2000
00772,CHINA LIT, 200
00775,CKLIFE SCIENCES,2000
00776,IMPERIUM GP,1000
00777,NETDRAGON,500
00778,Fortune REIT,1000
00787,GLOBAL BRANDS,2000
00789,PRIMEVIEW HLDG,20000
00794,COME SURE GROUP,2000
00798,CEOVU,4000
00799,IGG,1000
00800,A8 NEW MEDIA,2000
00801,GOLDEN MEDITECH,4000
00802,CHINA E-WALLET,10000
00803,PROSPERITY INTL,20000
00804,PINESTONE,5000
00805,GLENCORE-S,100
00806,VALUE PARTNERS,1000
00809,GLOBAL BIO-CHEM,2000
00811,XINHUA WINSHARE,1000
00812,SWSI,2000
00813,SHIMAO PROPERTY,500
00814,JINGKELONG,1000
00815,CHI SILVER GP,2000
00816,HUADIAN FUXIN,2000
00817,CHINA JINMAO,2000
00818,HI SUN TECH,3000
00819,TIANNENG POWER,2000
00821,VC HOLDINGS,4000
00822,KA SHUI INT'L,2000
00823,Link Real Estate,500
00825,NWDS CHINA,1000
00826,TIANGONG INT'L,2000
00827,KO YO GROUP,4000
00828,DYNASTY WINES,2000
00829,SHENGUAN HLDGS,2000
00830,FAR EAST GLOBAL,2000
00831,CR ASIA,2000
00832,CENTRAL CHINA,1000
00833,ALLTRONICS,1000
00834,KANGDA FOOD,4000
00835,ASIA COAL,10000
00836,CHINA RES POWER,2000
00837,CARPENTER TAN,2000
00838,EVA HOLDINGS,2000
00840,TIANYE WATER,2000
00841,CASSAVA RES,2000
00842,LEOCH INT'L,1000
00844,GRAND CONCORD,4000
00845,GLORIOUS PPT H,1000
00846,MINGFA GROUP,1000
00847,KAZ MINERALS-S,30
00848,MAOYE INT'L,1000
00850,TOURONG CHANGFU,4000
00851,SHENG YUAN HLDG,10000
00852,STRONG PETRO,2000
00853,MICROPORT,1000
00854,WILLAS-ARRAY,1000
00855,CHINA WATER,2000
00856,VST HOLDINGS,2000
00857,PETROCHINA,2000
00858,EXTRAWELL PHAR,10000
00859,HENRY GROUP,2000
00860,O LUXE HOLD,12000
00861,DC HOLDINGS,1000
00862,VISION VALUES,20000
00863,BRANDINGCHINA,2000
00864,WING LEE PPT,4000
00865,JIANDE INT'L,4000
00866,CHINA QINFA,2000
00867,CMS,1000
00868,XINYI GLASS,2000
00869,PLAYMATES TOYS,4000
00871,CH DREDG ENV,1000
00872,TUS INTL,2000
00873,C TAIFENG BED,2000
00874,BAIYUNSHAN PH,2000
00875,CHINA FIN INV,20000
00876,MEGA MEDICAL,10000
00877,O-NET TECH GP,1000
00878,SOUNDWILL HOLD,500
00880,SJM HOLDINGS,1000
00881,ZHONGSHENG HLDG,500
00882,TIANJIN DEV,2000
00883,CNOOC,1000
00884,CIFI HOLD GP,2000
00885,RENTIAN TECH,10000
00886,SILVER BASE,3000
00887,EMPEROR WATCH&J,10000
00888,ROADSHOW,2000
00889,DATRONIX HOLD,2000
00891,TRINITY,2000
00893,CHINAVTM MINING,1000
00894,MAN YUE TECH,2000
00895,DONGJIANG ENV,200
00896,HANISON,2000
00897,WAI YUEN TONG,5000
00898,MULTIFIELD INTL,2000
00899,ASIA RESOURCES,10000
00900,AEON CREDIT,2000
00902,HUANENG POWER,2000
00903,TPV TECHNOLOGY,2000
00904,CHINA GREEN,4000
00906,COFCO PACKAGING,1000
00907,ELEGANCEOPTICAL,2000
00908,ZHUHAI H INV,2000
00909,ZHONGDA INT'L,2000
00910,CHINA SANDI,12000
00911,QIANHAI HEALTH,10000
00912,SUGA INT'L,2000
00914,ANHUI CONCH,500
00915,DAOHE GLOBAL,1000
00916,CHINA LONGYUAN,1000
00918,TAKSON HOLDINGS,2000
00919,MODERN BEAUTY,4000
00921,HISENSE KELON,1000
00922,ANXIANYUAN CH,20000
00923,IWS,2000
00925,BJ PROPERTIES,2000
00926,BESUNYEN,1000
00927,FUJIKON IND,2000
00928,LIFE HEALTHCARE,20000
00929,IPE GROUP,5000
00931,CHINA LNG,20000
